season,week,date,espn_id,name,pos,team,espn_pts,sleeper_pts,fp_pts,blend,p_zero,implied
2026,1,2026-09-11,4374302,Amon-Ra St. Brown,WR,DET,18.83,20.2,19.9,21.07,0.02,28.25
2026,1,2026-09-11,4038941,Justin Herbert,QB,LAC,19.22,17.83,19.5,20.08,0.02,28.5
2026,1,2026-09-11,4890973,Ashton Jeanty,RB,LV,18.36,16.43,15.1,17.11,0.02,21.75
2026,1,2026-09-11,4361370,Chris Olave,WR,NO,14.78,16.13,16.0,15.04,0.02,21.25
2026,1,2026-09-11,4239996,Travis Etienne Jr.,RB,NO,15.01,14.51,14.9,14.42,0.02,21.25
2026,1,2026-09-11,4882093,Bhayshul Tuten,RB,JAX,12.89,10.62,12.4,11.91,0.02,24.0
2026,1,2026-09-11,4695883,Jalen Coker,WR,CAR,9.23,11.91,9.9,10.37,0.02,21.75
2026,1,2026-09-11,4569587,Wan'Dale Robinson,WR,TEN,10.38,11.12,10.7,10.26,0.02,20.0
2026,1,2026-09-11,3040151,George Kittle,TE,SF,8.39,10.09,8.3,9.24,0.02,
2026,1,2026-09-11,4608686,Kyle Monangai,RB,CHI,10.29,7.27,7.7,8.98,0.02,24.75
2026,1,2026-09-11,4429059,Woody Marks,RB,HOU,8.3,8.84,6.9,8.4,0.02,21.5
2026,1,2026-09-11,3051909,Daniel Carlson,K,NO,7.7,6.27,7.0,6.77,0.02,21.25
2026,1,2026-09-11,-16005,Browns D/ST,D/ST,CLE,6.41,5.11,5.9,5.76,0.02,15.5
2026,1,2026-09-11,4430834,Jalen McMillan,WR,TB,8.17,7.82,7.9,8.06,0.3,23.5
2026,1,2026-09-11,3054850,Alvin Kamara,RB,NO,0.0,3.22,2.2,2.85,0.3,21.25
2026,1,2026-09-11,4432710,TreVeyon Henderson,RB,NE,0.0,,,0.0,1.0,
2026,1,2026-09-11,4689114,Jaxson Dart,QB,NYG,18.52,21.71,17.3,19.89,0.02,22.25
2026,1,2026-09-11,4242335,Jonathan Taylor,RB,IND,17.77,19.04,18.0,18.16,0.02,22.0
2026,1,2026-09-11,4685382,Omarion Hampton,RB,LAC,17.58,16.0,16.9,17.99,0.02,28.5
2026,1,2026-09-11,4431452,Drake Maye,QB,NE,16.25,19.67,17.6,17.96,0.02,
2026,1,2026-09-11,4426348,Jayden Daniels,QB,WSH,16.83,15.73,17.5,15.35,0.02,19.25
2026,1,2026-09-11,4685472,Tetairoa McMillan,WR,CAR,14.81,14.9,14.3,14.57,0.02,21.75
2026,1,2026-09-11,4430737,Kyren Williams,RB,LAR,13.67,14.59,14.4,14.13,0.02,
2026,1,2026-09-11,4361307,Trey McBride,TE,ARI,14.35,14.25,15.0,13.55,0.02,19.0
2026,1,2026-09-11,4430027,Sam LaPorta,TE,DET,10.95,13.77,11.5,13.21,0.02,28.25
2026,1,2026-09-11,4432620,Parker Washington,WR,JAX,11.32,12.18,11.8,11.93,0.02,24.0
2026,1,2026-09-11,16737,Mike Evans,WR,SF,10.65,12.77,11.4,11.71,0.02,
2026,1,2026-09-11,4373678,Khalil Shakir,WR,BUF,9.49,10.3,9.6,9.89,0.02,23.0
2026,1,2026-09-11,4362081,Cameron Dicker,K,LAC,10.26,7.17,9.0,9.55,0.02,28.5
2026,1,2026-09-11,-16021,Eagles D/ST,D/ST,PHI,6.34,8.73,7.8,7.54,0.02,25.25
2026,1,2026-09-11,4678008,Jonathon Brooks,RB,CAR,11.16,9.92,9.1,10.37,0.3,21.75
2026,1,2026-09-11,4710714,De'Zhaun Stribling,WR,SF,9.6,6.88,9.1,8.24,0.3,
2026,1,2026-09-11,4047365,Josh Jacobs,RB,GB,0.0,,0.8,0.79,1.0,22.5
2026,1,2026-09-11,4431611,Caleb Williams,QB,CHI,16.35,18.08,18.3,17.67,0.02,24.75
2026,1,2026-09-11,3917315,Kyler Murray,QB,MIN,16.37,17.65,16.7,17.27,0.02,24.0
2026,1,2026-09-11,4426388,Jameson Williams,WR,DET,12.12,14.15,12.7,14.18,0.02,28.25
2026,1,2026-09-11,4035538,David Montgomery,RB,HOU,12.67,15.29,12.8,13.71,0.02,21.5
2026,1,2026-09-11,4428331,Rashee Rice,WR,KC,14.36,12.81,14.4,13.59,0.02,23.0
2026,1,2026-09-11,4685278,Luther Burden III,WR,CHI,12.02,13.12,12.5,12.9,0.02,24.75
2026,1,2026-09-11,4685702,Quinshon Judkins,RB,CLE,13.15,10.85,12.4,10.83,0.02,15.5
2026,1,2026-09-11,3116165,Chris Godwin Jr.,WR,TB,9.68,11.78,11.6,10.81,0.02,23.5
2026,1,2026-09-11,3916148,Tony Pollard,RB,TEN,11.54,10.9,12.1,10.78,0.02,20.0
2026,1,2026-09-11,3929645,Juwan Johnson,TE,NO,8.83,10.39,10.3,9.39,0.02,21.25
2026,1,2026-09-11,4034949,Eddy Pineiro,K,SF,9.09,6.34,7.6,7.71,0.02,
2026,1,2026-09-11,-16016,Vikings D/ST,D/ST,MIN,4.43,7.31,6.6,5.87,0.02,24.0
2026,1,2026-09-11,4432665,Brock Bowers,TE,LV,0.0,,,0.0,1.0,21.75
